TICKER,ATIVO,QUANTIDADE TEÓRICA,PESO (%)
ALPA4       ,SAO PAULO ALPARGATAS S.A.,646432956.8551615,0.36911326380338866
POMO4       ,MARCOPOLO SA,645652499.6434639,0.36866762268064934
POMO4       ,MARCOPOLO SA,645652499.6434639,0.36866762268064934
BPAN4       ,BANCO PAN S.A.,644078453.6193728,0.3677688422902505
SUZB3       ,SUZANO S.A.,634985578.600042,0.3625768100150558
BPAC11      ,BANCO BTG PACTUAL S A,632519329.942256,0.36116858185810236
IFCM3       ,INFRACOMMERCE CXAAS S.A.,626441159.5701653,0.35769794614839157
EGIE3       ,ENGIE BRASIL ENERGIA S.A.,605119467.2565727,0.34552325833858494
GRND3       ,GRENDENE S A,592850999.7446945,0.33851796252692684
AMBP3       ,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S.A.,592307399.9057814,0.33820756698069676
ANIM3       ,ANIMA HOLDING SA,578685779.8695692,0.33042962098252815
LWSA3       ,LOCAWEB SERVICOS DE INTERNET S/A,572034704.7854782,0.32663185664199457
MDIA3       ,M DIAS BRANCO S.A. INDUSTRIA E COMERCIO DE ALIMENT,550457797.1793686,0.3143114408822211
PTBL3       ,PBG S/A,548488503.7833003,0.3131869742146404
BRSR6       ,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,546029140.8366232,0.3117826777992142
JHSF3       ,JHS F PARTICIPACOES S.A.,539049324.3547246,0.30779720209742456
SRNA3       ,OMEGA ENERGIA S.A.,538121198.9824826,0.3072672424446345
CAML3       ,CAMIL ALIMENTOS S.A.,529982730.2181797,0.302620176208148
GFSA3       ,GAFISA S/A.,524462381.62064356,0.2994680567709183
EZTC3       ,EZ TEC EMPREENDIMENTOS E PARTICIPACOES S/A,517428259.960946,0.29545157280878825
BBDC3       ,BANCO BRADESCO S.A.,516580902.3647358,0.29496773156178974
WIZC3       ,WIZ SOLUCOES E CORRETAGEM DE SEGUROS S.A,487247731.6158724,0.2782184890023003
ZAMP3       ,ZAMP S.A.,485920284.941822,0.2774605168581086
PETR4       ,PETROLEO BRASILEIRO S A PETROBRAS,475531328.83531207,0.2715284221910305
TTEN3       ,TRES TENTOS AGROINDUSTRIAL S/A,475073523.29543453,0.27126701519558033
FESA4       ,CIA DE FERRO LIGAS DA BAHIA FERBASA,430259789.6573678,0.2456783701381955
ENAT3       ,ENAUTA PARTICIPACOES LTDA,427684265.2426924,0.24420774551637695
NEOE3       ,NEOENERGIA S.A,422730170.2531108,0.24137895692909242
NEOE3       ,NEOENERGIA S.A,422730170.2531108,0.24137895692909242
RANI3       ,IRANI PAPEL E EMBALAGEM S.A.,408298375.7288739,0.23313840124131285
UGPA3       ,ULTRAPAR PARTICIPACOES S/A,401033379.6819373,0.22899008798784062
ARZZ3       ,AREZZO INDUSTRIA E COMERCIO S.A.,388665757.18074,0.22192817467031156
PETR3       ,PETROLEO BRASILEIRO S A PETROBRAS,385216480.67072374,0.2199586375406356
CPLE3       ,COMPANHIA PARANAENSE DE ENERGIA,382044790.47244954,0.21814760221447646
CPFE3       ,CPFL ENERGIA S.A.,375552667.4202565,0.21444059949532968
ESPA3       ,MPM CORPOREOS S.A,363737318.92711216,0.20769403467521932
MILS3       ,MILLS LOCACAO SERVICOS E LOGISTICA S.A.,363417801.76368046,0.20751159035244027
RENT3       ,LOCALIZA RENT A CAR SA,344067138.8833232,0.19646236048755872
RENT3       ,LOCALIZA RENT A CAR SA,344067138.8833232,0.19646236048755872
RENT3       ,LOCALIZA RENT A CAR SA,344067138.8833232,0.19646236048755872
YDUQ3       ,YDUQS PARTICIPACOES S.A.,339900981.1831244,0.19408348414789747
ONCO3       ,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS SA,319829874.12204206,0.1826228806051804
MULT3       ,MULTIPLAN EMPREENDIMENTOS IMOBILIARIOS S/A,308781106.5594884,0.17631403355032185
JALL3       ,JALLES MACHADO S.A.,299459378.61420995,0.17099132623832458
ABCB4       ,BANCO ABC BRASIL S.A.,296066017.2243164,0.16905371664616908
EVEN3       ,EVEN CONSTRUTORA E INCORPORADORA S/A,290814210.43974525,0.16605493460301873
TUPY3       ,TUPY S/A,290359013.64309335,0.16579501720013376
CRFB3       ,ATACADAO S.A.,287179637.9153438,0.163979593436104
CYRE3       ,CYRELA BRAZIL REALTY S.A. EMPREENDIMENTOS E PARTIC,280820599.02184933,0.1603485817809288
BLAU3       ,BLAU FARMACEUTICA S.A.,254611527.18292123,0.14538319991861173
PSSA3       ,PORTO SEGURO S/A,245062958.63590407,0.13993096660707657
MATD3       ,HOSPITAL MATER DEI S.A.,240722879.97373945,0.13745278138590758
CURY3       ,CURY CONSTRUTORA E INCORPORADORA S.A.,239923845.81026697,0.13699653282239907
VIVA3       ,VIVARA PARTICIPACOES S.A.,222274723.82884303,0.1269188829304132
GGPS3       ,GPS PARTICIPACOES EMPREENDIMENTOS SA,216306243.4862111,0.12351088023523371
AGRO3       ,BRASILAGRO - COMPANHIA BRASILEIRA DE PROPRIEDADES,213940214.25069124,0.12215987737543885
ALUP11      ,ALUPAR INVESTIMENTO SA,206403752.47613376,0.11785655717241325
CXSE3       ,CAIXA SEGURIDADE PARTICIPACOES S/A,203735868.6506697,0.11633319532054226
SAPR11      ,COMPANHIA DE SANEAMENTO DO PARANA SANEPAR,203419244.70818302,0.11615240302712625
ENGI11      ,ENERGISA S/A,197764406.25957912,0.11292348987548327
TAEE11      ,TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,177886755.2355048,0.10157334974349619
BBSE3       ,BB SEGURIDADE PARTICIPACOES S.A.                  ,172194915.5829228,0.09832330890178086
ORVR3       ,ORIZON VALORIZACAO DE RESIDUOS S.A,163748835.17188635,0.09350059639338681
CMIG3       ,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,160354038.7865119,0.09156216741871084
DASA3       ,DIAGNOSTICOS DA AMERICA S.A .,159328822.41692355,0.09097676879961135
USIM3       ,USINAS SIDERURGICAS DE MINAS GERAIS S/A. USIMINAS,147222900.44259578,0.08406428650132022
LOGG3       ,LOG COMMERCIAL PROPERTIES E PARTICIPACOES S.A,142447466.538492,0.08133751340640197
SMFT3       ,SMARTFIT ESCOLA DE GINASTICA E DANCA SA,131903403.60500206,0.07531685273021553
EQTL3       ,EQUATORIAL ENERGIA S/A,125311998.32589555,0.07155315985252239
CSMG3       ,COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG,110721056.73013486,0.06322173117571599
FRAS3       ,FRAS-LE SA,102532973.87898172,0.05854633529215049
IGTI11      ,IGUATEMI S.A.,97917439.49872479,0.055910864836588456
VULC3       ,VULCABRAS S/A.,95195080.61080353,0.054356397720225255
ITUB3       ,ITAU UNIBANCO HOLDING S.A.,94507942.71531725,0.053964041933602255
VVEO3       ,CM HOSPITALAR S.A.,86341369.13740799,0.049300927846570954
BRAP4       ,BRADESPAR S/A,82876453.31933606,0.04732246067089588
LEVE3       ,MAHLE METAL LEVE S.A.,77901300.2625608,0.04448164792576355
DIRR3       ,DIRECIONAL ENGENHARIA S/A,75728837.24901834,0.043241171392323946
PORT3       ,WILSON SONS HOLDINGS BRASILS.A.,59775927.46948899,0.03413205878685011
LOGN3       ,LOG-IN - LOGISTICA INTERMODAL S/A,56779792.068711214,0.03242126526240153
IRBR3       ,IRB-BRASIL RESSEGUROS S.A.,53265829.27389412,0.030414792259557358
SBSP3       ,CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SA,53256621.102684446,0.030409534393149373
GOAU3       ,METALURGICA GERDAU SOCIEDADE ANONIMA,48235855.82854514,0.027542677068695995
RECV3       ,PETRORECONCAVO S/A,45265214.80248601,0.025846440834003812
UNIP6       ,UNIPAR CARBOCLORO S.A.,42975186.54186726,0.024538834536219748
ARML3       ,ARMAC LOCACAO LOGISTICA E SERVICOS S.A.,34980185.442376785,0.01997368834642575
RRRP3       ,3R PETROLEUM OLEO E GAS S.A.,27828252.16885798,0.015889933944522528
PRIO3       ,PRIO S.A.,17939512.119749133,0.010243462681381661
BRAP3       ,BRADESPAR S/A,9862308.446776574,0.0056313788163512065
UNIP3       ,UNIPAR CARBOCLORO S.A.,5046678.257166607,0.002881653639583444
