Date,ABCB4.SA,ABEV3.SA,AERI3.SA,AESB3.SA,AGRO3.SA,ALPA4.SA,ALUP11.SA,AMBP3.SA,ANIM3.SA,ARML3.SA,ARZZ3.SA,ASAI3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BHIA3.SA,BLAU3.SA,BPAC11.SA,BPAN4.SA,BRAP3.SA,BRAP4.SA,BRKM5.SA,BRSR6.SA,CAML3.SA,CASH3.SA,CBAV3.SA,CCRO3.SA,CIEL3.SA,CMIG3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSMG3.SA,CSNA3.SA,CURY3.SA,CVCB3.SA,CXSE3.SA,CYRE3.SA,DASA3.SA,DIRR3.SA,DXCO3.SA,ECOR3.SA,EGIE3.SA,ENAT3.SA,ENGI11.SA,EQTL3.SA,ESPA3.SA,EVEN3.SA,EZTC3.SA,FESA4.SA,FLRY3.SA,FRAS3.SA,GFSA3.SA,GGBR4.SA,GGPS3.SA,GMAT3.SA,GOAU3.SA,GOAU4.SA,GRND3.SA,GUAR3.SA,HAPV3.SA,HBSA3.SA,HYPE3.SA,IFCM3.SA,IGTI11.SA,INTB3.SA,IRBR3.SA,ITSA4.SA,ITUB3.SA,ITUB4.SA,JALL3.SA,JHSF3.SA,KEPL3.SA,KLBN11.SA,LEVE3.SA,LJQQ3.SA,LOGG3.SA,LOGN3.SA,LREN3.SA,LWSA3.SA,MATD3.SA,MDIA3.SA,MGLU3.SA,MILS3.SA,MLAS3.SA,MOVI3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,MYPK3.SA,NEOE3.SA,NTCO3.SA,ODPV3.SA,ONCO3.SA,ORVR3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PETZ3.SA,POMO4.SA,PORT3.SA,PRIO3.SA,PSSA3.SA,PTBL3.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,RAIZ4.SA,RANI3.SA,RAPT4.SA,RDOR3.SA,RECV3.SA,RENT3.SA,RRRP3.SA,SANB11.SA,SAPR11.SA,SBFG3.SA,SBSP3.SA,SEQL3.SA,SIMH3.SA,SLCE3.SA,SMFT3.SA,SMTO3.SA,SOMA3.SA,SRNA3.SA,STBP3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,TRPL4.SA,TTEN3.SA,TUPY3.SA,UGPA3.SA,UNIP3.SA,UNIP6.SA,USIM3.SA,USIM5.SA,VAMO3.SA,VBBR3.SA,VIVA3.SA,VIVT3.SA,VULC3.SA,VVEO3.SA,WEGE3.SA,WIZC3.SA,YDUQ3.SA,ZAMP3.SA
2022-01-03,15.52035140991211,15.420000076293945,131.60000610351562,11.01076889038086,28.959999084472656,36.73164367675781,22.281803131103516,38.20035171508789,8.449999809265137,26.25,78.0,13.079999923706055,24.510000228881836,11.1899995803833,14.5649995803833,14.800000190734863,17.64545440673828,20.920000076293945,10.619999885559082,115.27127838134766,36.400001525878906,20.799999237060547,10.710000038146973,21.920000076293945,25.18000030517578,57.91999816894531,9.699999809265137,11.470000267028809,32.400001525878906,13.654658317565918,11.670000076293945,2.2699999809265137,11.136094093322754,7.798816204071045,6.829999923706055,2.490000009536743,26.93000030517578,6.070000171661377,6.418197154998779,15.170000076293945,21.770000457763672,12.779999732971191,25.389999389648438,7.0,12.209488868713379,8.359999656677246,15.920000076293945,34.189998626708984,12.657615661621094,13.62727165222168,7.400000095367432,38.5,13.609999656677246,41.689998626708984,22.27364730834961,8.176268577575684,6.659999847412109,20.649999618530273,12.262499809265137,16.98320770263672,13.600212097167969,17.660842895507812,21.738094329833984,16.190000534057617,6.079999923706055,10.699999809265137,11.420000076293945,8.6899995803833,10.0,10.380000114440918,3.5,28.25,16.411197662353516,18.06999969482422,28.260000228881836,100.81137084960938,7.776632785797119,19.290000915527344,21.170000076293945,10.194998741149902,5.610000133514404,6.581665992736816,23.399999618530273,29.986492156982422,11.061763763427734,25.450000762939453,23.700000762939453,24.450000762939453,13.279999732971191,13.649999618530273,25.649999618530273,69.30745697021484,6.389999866485596,8.479999542236328,15.9399995803833,21.87526512145996,12.010000228881836,18.780000686645508,15.279999732971191,16.020000457763672,25.440000534057617,11.46363639831543,11.247426986694336,25.93401336669922,21.729999542236328,30.84000015258789,28.540000915527344,16.40999984741211,3.049999952316284,9.243332862854004,20.65999984741211,21.420000076293945,9.699999809265137,16.899999618530273,23.74038314819336,17.899999618530273,6.440000057220459,6.940000057220459,11.0600004196167,44.7599983215332,18.297956466674805,52.721717834472656,33.608646392822266,30.149999618530273,18.860000610351562,22.219999313354492,40.47999954223633,276.62677001953125,11.789999961853027,19.040908813476562,16.0,34.459999084472656,12.460000038146973,12.890000343322754,6.730000019073486,60.34000015258789,36.369998931884766,12.90999984741211,28.639999389648438,24.309999465942383,9.600000381469727,20.110000610351562,14.539999961853027,85.28099060058594,86.19834899902344,14.630000114440918,15.260000228881836,11.819085121154785,21.309999465942383,25.440000534057617,48.16999816894531,9.01818561553955,18.552248001098633,32.720001220703125,8.0,20.59000015258789,5.989999771118164
2022-01-04,15.324138641357422,15.319999694824219,131.39999389648438,10.931197166442871,28.540000915527344,34.58330154418945,22.309541702270508,37.07575225830078,7.869999885559082,24.440000534057617,72.86000061035156,12.770000457763672,24.559999465942383,10.760000228881836,14.5600004196167,15.081817626953125,17.89090919494629,20.610000610351562,10.430000305175781,109.58427429199219,33.5,20.280000686645508,10.260000228881836,22.1299991607666,24.950000762939453,57.2400016784668,9.510000228881836,11.270000457763672,30.700000762939453,13.484848976135254,11.4399995803833,2.2100000381469727,10.792899131774902,7.627217769622803,7.110000133514404,2.4000000953674316,26.0,6.0,6.4681830406188965,14.319999694824219,21.18000030517578,12.1899995803833,24.860000610351562,6.739999771118164,11.790356636047363,8.109999656677246,14.699999809265137,33.5,12.109883308410645,13.263635635375977,7.150000095367432,38.040000915527344,13.470000267028809,40.349998474121094,21.974002838134766,7.45683479309082,6.340000152587891,19.399999618530273,12.095000267028809,16.059078216552734,13.375818252563477,17.0488338470459,21.761903762817383,15.319999694824219,5.849999904632568,10.619999885559082,11.380000114440918,8.149999618530273,9.539999961853027,10.069999694824219,3.4000000953674316,27.350000381469727,16.34665870666504,17.040000915527344,26.799999237060547,100.81137084960938,7.785254955291748,19.350000381469727,21.6200008392334,10.02541446685791,5.210000038146973,6.493332862854004,23.218181610107422,30.085002899169922,10.608250617980957,24.270000457763672,23.8700008392334,23.25,12.880000114440918,13.539999961853027,25.280000686645508,63.414920806884766,6.150000095367432,8.140000343322754,15.3100004196167,21.288610458374023,11.380000114440918,17.450000762939453,15.020000457763672,15.84000015258789,25.739999771118164,11.17272663116455,10.99748420715332,25.515241622924805,20.8700008392334,31.56999969482422,29.15999984741211,15.960000038146973,2.9800000190734863,9.086666107177734,20.510000228881836,20.1200008392334,8.930000305175781,16.1299991607666,22.375,17.360000610351562,6.260000228881836,6.579999923706055,11.0600004196167,43.97999954223633,17.074832916259766,50.60169982910156,33.618492126464844,30.739999771118164,18.15999984741211,21.15999984741211,39.88999938964844,256.9640808105469,11.130000114440918,18.904544830322266,15.819999694824219,33.720001220703125,12.0,12.399999618530273,6.619999885559082,60.0,36.400001525878906,12.779999732971191,27.520000457763672,24.260000228881836,9.369999885559082,20.56999969482422,14.3100004196167,82.39669036865234,84.07437896728516,14.489999771118164,15.109999656677246,11.286337852478027,20.489999771118164,24.489999771118164,47.560001373291016,8.761651039123535,17.844451904296875,32.220001220703125,7.650000095367432,20.200000762939453,5.800000190734863
2022-01-05,15.33395004272461,15.25,126.4000015258789,10.742213249206543,27.40999984741211,33.17438888549805,22.25406837463379,34.17878723144531,7.349999904632568,22.530000686645508,69.80999755859375,12.680000305175781,23.90999984741211,10.869999885559082,14.40999984741211,15.009090423583984,17.954544067382812,20.530000686645508,10.149999618530273,103.0223388671875,31.610000610351562,19.719999313354492,9.270000457763672,21.799999237060547,24.84000015258789,55.34000015258789,9.5600004196167,10.989999771118164,29.399999618530273,12.73569107055664,11.399999618530273,2.130000114440918,10.455620765686035,7.5739641189575195,7.449999809265137,2.299999952316284,25.65999984741211,5.900000095367432,6.378208160400391,14.170000076293945,21.260000228881836,12.15999984741211,24.100000381469727,6.619999885559082,10.751639366149902,8.010000228881836,14.220000267028809,30.860000610351562,11.592025756835938,13.009090423583984,7.019999980926514,38.130001068115234,13.619999885559082,40.0,21.874120712280273,7.097117900848389,6.159999847412109,18.68000030517578,11.895000457763672,15.1726713180542,12.927030563354492,16.17453384399414,22.007936477661133,14.699999809265137,5.820000171661377,10.65999984741211,11.59000015258789,7.860000133514404,9.130000114440918,9.859999656677246,3.0799999237060547,27.1200008392334,16.54949378967285,16.540000915527344,25.799999237060547,94.09061431884766,7.802497863769531,19.780000686645508,22.09000015258789,10.165072441101074,4.989999771118164,5.868332862854004,23.799999237060547,31.828632354736328,9.780097007751465,23.530000686645508,23.75,22.719999313354492,11.800000190734863,12.199999809265137,24.979999542236328,60.98308181762695,5.670000076293945,7.559999942779541,14.90999984741211,21.298553466796875,10.9399995803833,17.15999984741211,14.989999771118164,15.520000457763672,24.190000534057617,11.018180847167969,10.31764030456543,23.85011863708496,20.950000762939453,32.0,29.190000534057617,14.40999984741211,2.930000066757202,9.331665992736816,20.600000381469727,19.8700008392334,8.539999961853027,15.369999885559082,22.298076629638672,17.100000381469727,6.28000020980835,6.46999979019165,10.550000190734863,42.900001525878906,17.44666290283203,50.631561279296875,33.69724655151367,30.979999542236328,17.950000762939453,20.219999313354492,38.90999984741211,232.28936767578125,10.40999984741211,18.704544067382812,15.0600004196167,34.209999084472656,11.529999732971191,11.729999542236328,6.0,61.0,36.599998474121094,12.850000381469727,26.360000610351562,24.260000228881836,8.979999542236328,20.270000457763672,13.489999771118164,82.76859283447266,84.25619506835938,14.100000381469727,14.880000114440918,10.704262733459473,20.09000015258789,23.31999969482422,47.540000915527344,8.11044692993164,18.342899322509766,31.760000228881836,7.320000171661377,19.719999313354492,5.559999942779541
2022-01-06,14.745314598083496,15.039999961853027,117.5999984741211,10.54328441619873,27.530000686645508,31.945337295532227,21.67159652709961,32.4154167175293,6.980000019073486,20.829999923706055,66.62000274658203,12.100000381469727,22.600000381469727,10.600000381469727,14.210000038146973,14.936363220214844,17.80908966064453,20.299999237060547,10.109999656677246,100.83502960205078,31.139999389648438,18.700000762939453,9.529999732971191,22.09000015258789,25.059999465942383,53.68000030517578,9.4399995803833,10.880000114440918,26.600000381469727,12.186307907104492,11.25,2.130000114440918,10.17751407623291,7.4023661613464355,7.110000133514404,2.1500000953674316,25.469999313354492,5.760000228881836,6.278235912322998,14.069999694824219,20.280000686645508,12.0,23.770000457763672,6.130000114440918,10.28695011138916,7.860000133514404,13.920000076293945,30.209999084472656,10.874993324279785,12.581817626953125,6.989999771118164,37.68000030517578,12.859999656677246,39.95000076293945,21.61442756652832,6.717957019805908,6.0,18.010000228881836,11.404999732971191,15.116090774536133,12.761174201965332,15.037945747375488,21.706348419189453,14.149999618530273,5.71999979019165,10.4399995803833,11.359999656677246,7.809999942779541,8.670000076293945,9.449999809265137,2.990000009536743,27.15999984741211,16.11616325378418,15.5600004196167,24.8700008392334,90.85469818115234,7.742146968841553,19.709999084472656,21.639999389648438,10.02541446685791,4.860000133514404,5.651666164398193,23.39090919494629,29.84857749938965,9.356162071228027,23.139999389648438,23.700000762939453,21.8700008392334,10.479999542236328,11.550000190734863,24.09000015258789,60.4218864440918,5.210000038146973,7.150000095367432,14.050000190734863,21.32838249206543,10.520000457763672,16.729999542236328,14.4399995803833,15.220000267028809,23.270000457763672,10.854544639587402,9.957721710205078,22.97269058227539,20.260000228881836,30.739999771118164,28.290000915527344,13.90999984741211,2.940000057220459,9.223333358764648,19.010000228881836,19.389999389648438,7.960000038146973,15.199999809265137,21.375,16.979999542236328,5.800000190734863,6.309999942779541,10.279999732971191,40.060001373291016,16.389881134033203,49.546669006347656,31.777597427368164,30.81999969482422,17.84000015258789,19.729999542236328,37.130001068115234,213.7833251953125,10.0,18.64090919494629,14.399999618530273,33.72999954223633,10.5,11.770000457763672,5.670000076293945,60.31999969482422,36.310001373291016,12.630000114440918,25.200000762939453,24.040000915527344,8.40999984741211,19.15999984741211,13.1899995803833,80.14875793457031,80.06611633300781,13.449999809265137,14.149999618530273,9.885412216186523,19.489999771118164,22.0,47.56999969482422,7.992045879364014,16.97715187072754,30.219999313354492,7.139999866485596,18.8799991607666,5.289999961853027
2022-01-07,14.872852325439453,14.800000190734863,116.0,10.30456829071045,28.40999984741211,32.30506134033203,21.60687828063965,31.353797912597656,7.070000171661377,20.299999237060547,68.08000183105469,11.520000457763672,22.729999542236328,10.90999984741211,14.305000305175781,15.154544830322266,18.154544830322266,20.450000762939453,10.029999732971191,95.80421447753906,30.850000381469727,18.440000534057617,9.510000228881836,22.68000030517578,25.709999084472656,53.119998931884766,9.4399995803833,10.899999618530273,25.799999237060547,12.386082649230957,11.029999732971191,2.059999942779541,9.497040748596191,7.183431148529053,6.889999866485596,2.0899999141693115,24.81999969482422,5.739999771118164,6.108283996582031,14.1899995803833,19.799999237060547,11.600000381469727,23.3799991607666,6.139999866485596,10.113829612731934,7.889999866485596,13.720000267028809,30.110000610351562,10.51647663116455,12.409090042114258,6.929999828338623,37.290000915527344,12.09000015258789,39.16999816894531,21.194923400878906,6.640181064605713,5.980000019073486,18.06999969482422,11.255000114440918,15.521575927734375,12.61483097076416,15.037945747375488,21.579364776611328,13.729999542236328,5.650000095367432,10.380000114440918,11.319999694824219,7.829999923706055,8.550000190734863,9.609999656677246,2.9000000953674316,26.899999618530273,16.13460350036621,15.029999732971191,23.899999618530273,89.85902404785156,7.8197407722473145,19.84000015258789,22.09000015258789,10.02541446685791,4.659999847412109,5.5283331871032715,23.363636016845703,29.65155792236328,8.991379737854004,23.420000076293945,23.690000534057617,22.75,10.109999656677246,11.449999809265137,23.81999969482422,58.644771575927734,5.150000095367432,7.199999809265137,13.949999809265137,21.11957359313965,10.4399995803833,16.610000610351562,14.199999809265137,14.899999618530273,23.270000457763672,10.909090042114258,9.787760734558105,23.082368850708008,19.549999237060547,30.760000228881836,28.110000610351562,13.949999809265137,2.9000000953674316,9.109999656677246,19.079999923706055,19.18000030517578,7.769999980926514,15.199999809265137,20.894229888916016,16.040000915527344,5.610000133514404,6.090000152587891,10.399999618530273,40.79999923706055,16.086545944213867,49.56657409667969,31.167247772216797,31.229999542236328,17.290000915527344,19.860000610351562,35.900001525878906,212.0483856201172,9.6899995803833,19.690908432006836,14.529999732971191,33.400001525878906,10.579999923706055,11.5,5.519999980926514,59.810001373291016,36.25,12.569999694824219,25.860000610351562,23.780000686645508,8.510000228881836,18.979999542236328,12.970000267028809,79.57024383544922,77.57024383544922,13.010000228881836,14.050000190734863,10.349098205566406,19.239999771118164,22.020000457763672,47.060001373291016,8.12031364440918,16.448795318603516,30.219999313354492,7.110000133514404,18.940000534057617,5.28000020980835
2022-01-10,15.127927780151367,14.4399995803833,118.4000015258789,10.264781951904297,28.040000915527344,32.02527618408203,21.773298263549805,31.137874603271484,7.039999961853027,20.200000762939453,66.83999633789062,11.260000228881836,23.43000030517578,11.100000381469727,14.270000457763672,15.154544830322266,18.227272033691406,19.760000228881836,9.890000343322754,90.77339935302734,30.84000015258789,18.549999237060547,9.479999542236328,23.469999313354492,26.440000534057617,52.470001220703125,9.430000305175781,10.989999771118164,25.299999237060547,12.865545272827148,11.199999809265137,2.049999952316284,9.91124153137207,7.224852085113525,6.889999866485596,2.059999942779541,25.350000381469727,5.630000114440918,6.098287105560303,13.890000343322754,19.809999465942383,11.600000381469727,23.81999969482422,6.150000095367432,10.296060562133789,7.989999771118164,13.720000267028809,29.760000228881836,10.456724166870117,12.254545211791992,6.96999979019165,37.349998474121094,12.819999694824219,39.20000076293945,21.204912185668945,6.552681922912598,5.960000038146973,17.899999618530273,11.697500228881836,15.62530517578125,12.478242874145508,15.649954795837402,21.25396728515625,13.770000457763672,5.699999809265137,10.510000228881836,11.34000015258789,7.869999885559082,8.649999618530273,9.890000343322754,2.9000000953674316,27.280000686645508,16.2268009185791,15.010000228881836,23.850000381469727,90.85469818115234,7.8887128829956055,20.06999969482422,22.56999969482422,9.875781059265137,4.579999923706055,5.47666597366333,22.918180465698242,30.843530654907227,8.774482727050781,23.229999542236328,23.75,22.739999771118164,9.720000267028809,11.199999809265137,23.639999389648438,57.42885208129883,5.090000152587891,6.889999866485596,13.699999809265137,21.13945960998535,10.550000190734863,16.559999465942383,14.25,14.6899995803833,21.950000762939453,10.909090042114258,9.62779712677002,23.461259841918945,18.950000762939453,30.700000762939453,27.989999771118164,14.0,3.0899999141693115,9.079999923706055,19.559999465942383,19.360000610351562,7.429999828338623,15.350000381469727,20.528846740722656,15.819999694824219,5.699999809265137,6.159999847412109,10.880000114440918,41.0,17.632577896118164,48.47172927856445,32.958919525146484,31.25,17.420000076293945,20.350000381469727,35.150001525878906,211.2772979736328,9.489999771118164,19.563636779785156,14.970000267028809,33.56999969482422,10.5,11.479999542236328,5.510000228881836,59.38999938964844,36.16999816894531,12.300000190734863,24.920000076293945,23.709999084472656,8.789999961853027,19.34000015258789,12.949999809265137,77.76033020019531,78.63636016845703,13.449999809265137,14.319999694824219,10.210979461669922,19.0,22.100000381469727,46.22999954223633,8.199248313903809,16.717958450317383,29.309999465942383,7.090000152587891,18.579999923706055,5.380000114440918
2022-01-11,15.52035140991211,14.609999656677246,121.0,10.19515609741211,27.889999389648438,31.675546646118164,21.58838653564453,31.21884536743164,6.699999809265137,19.860000610351562,64.58999633789062,11.199999809265137,23.5,11.029999732971191,14.359999656677246,15.436363220214844,18.454544067382812,19.399999618530273,9.739999771118164,87.2737045288086,29.760000228881836,19.0,9.550000190734863,23.600000381469727,26.780000686645508,53.529998779296875,9.479999542236328,10.800000190734863,24.5,13.78451156616211,10.970000267028809,2.009999990463257,9.834319114685059,7.201182842254639,6.989999771118164,1.9900000095367432,25.579999923706055,5.670000076293945,6.11828088760376,13.979999542236328,19.700000762939453,11.5,24.799999237060547,5.849999904632568,10.542073249816895,7.909999847412109,13.649999618530273,28.81999969482422,10.33721923828125,12.100000381469727,6.980000019073486,37.7400016784668,13.130000114440918,39.040000915527344,21.694332122802734,6.105465888977051,6.0,17.559999465942383,11.617500305175781,16.115657806396484,12.292874336242676,14.863085746765137,21.896825790405273,13.369999885559082,5.519999980926514,10.619999885559082,11.449999809265137,7.909999847412109,8.579999923706055,9.319999694824219,2.7899999618530273,27.139999389648438,15.719714164733887,15.390000343322754,23.489999771118164,88.36552429199219,7.905955791473389,20.170000076293945,22.790000915527344,9.666295051574707,4.519999980926514,5.380000114440918,22.92727279663086,29.661409378051758,8.84349536895752,22.940000534057617,23.600000381469727,22.65999984741211,9.8100004196167,11.0,23.149999618530273,53.781089782714844,5.050000190734863,6.800000190734863,13.319999694824219,21.308496475219727,10.390000343322754,16.450000762939453,14.15999984741211,14.449999809265137,21.510000228881836,10.709090232849121,9.64779281616211,24.15921401977539,19.350000381469727,30.850000381469727,28.100000381469727,14.0,3.0399999618530273,9.056666374206543,20.209999084472656,19.1299991607666,7.539999961853027,14.630000114440918,20.346153259277344,15.510000228881836,5.659999847412109,6.300000190734863,10.710000038146973,39.29999923706055,16.7030029296875,47.86458969116211,34.15993118286133,31.670000076293945,17.170000076293945,19.799999237060547,34.59000015258789,216.86767578125,8.979999542236328,19.863636016845703,14.75,33.27000045776367,10.3100004196167,11.329999923706055,5.329999923706055,59.18000030517578,36.15999984741211,12.329999923706055,24.6200008392334,23.520000457763672,8.380000114440918,19.399999618530273,12.65999984741211,76.89256286621094,77.29752349853516,14.390000343322754,15.9399995803833,9.865679740905762,18.780000686645508,21.510000228881836,46.439998626708984,7.883512020111084,16.24941635131836,28.510000228881836,7.110000133514404,18.030000686645508,5.210000038146973
2022-01-12,15.52035140991211,14.640000343322754,121.19999694824219,10.553230285644531,27.540000915527344,32.634803771972656,21.653106689453125,33.10816955566406,6.78000020980835,19.739999771118164,66.58999633789062,11.449999809265137,24.299999237060547,11.270000457763672,14.460000038146973,15.581817626953125,18.4818172454834,19.34000015258789,9.720000267028809,88.36735534667969,31.0,19.65999984741211,9.779999732971191,24.270000457763672,27.649999618530273,52.97999954223633,9.520000457763672,10.579999923706055,26.299999237060547,14.383838653564453,11.0,2.0799999237060547,9.982248306274414,7.39053201675415,7.170000076293945,2.0199999809265137,25.700000762939453,5.639999866485596,6.128277778625488,14.210000038146973,20.450000762939453,11.600000381469727,25.399999618530273,6.070000171661377,10.624076843261719,7.849999904632568,13.829999923706055,29.989999771118164,10.34717845916748,12.163636207580566,6.980000019073486,37.650001525878906,13.210000038146973,39.810001373291016,22.04391860961914,6.076300144195557,6.050000190734863,17.920000076293945,11.957500457763672,16.75688934326172,12.292874336242676,14.513365745544434,22.595237731933594,14.289999961853027,5.659999847412109,10.800000190734863,11.789999961853027,7.96999979019165,8.789999961853027,9.899999618530273,2.9100000858306885,26.649999618530273,15.858010292053223,16.139999389648438,23.700000762939453,89.610107421875,8.052521705627441,20.469999313354492,23.260000228881836,9.496710777282715,4.610000133514404,5.534999847412109,22.672727584838867,30.40023422241211,9.208276748657227,23.440000534057617,23.719999313354492,23.450000762939453,9.960000038146973,11.350000381469727,22.59000015258789,55.18407440185547,5.21999979019165,7.190000057220459,13.59000015258789,21.238893508911133,10.550000190734863,17.149999618530273,14.25,14.720000267028809,22.81999969482422,11.17272663116455,9.757767677307129,23.85011863708496,19.760000228881836,32.18000030517578,28.950000762939453,15.0,3.069999933242798,8.953332901000977,21.25,19.15999984741211,7.670000076293945,15.119999885559082,20.663461685180664,15.899999618530273,5.929999828338623,6.269999980926514,10.59000015258789,40.83000183105469,17.221607208251953,48.94948196411133,35.98114013671875,31.399999618530273,17.260000228881836,20.639999389648438,34.650001525878906,236.14479064941406,9.350000381469727,19.827272415161133,15.279999732971191,33.58000183105469,10.539999961853027,11.359999656677246,5.309999942779541,59.529998779296875,36.150001525878906,12.399999618530273,25.18000030517578,23.399999618530273,8.5,19.84000015258789,12.920000076293945,76.6611557006836,78.25619506835938,14.949999809265137,16.510000228881836,10.309636116027832,19.440000534057617,21.829999923706055,46.58000183105469,8.001913070678711,15.740999221801758,28.989999771118164,7.110000133514404,18.530000686645508,5.349999904632568
2022-01-13,15.15735912322998,14.869999885559082,120.0,10.970982551574707,28.079999923706055,33.54410171508789,21.93971824645996,33.369075775146484,6.909999847412109,21.760000228881836,68.6500015258789,11.800000190734863,25.239999771118164,11.470000267028809,14.529999732971191,15.454545021057129,18.218181610107422,19.149999618530273,9.760000228881836,88.80481719970703,31.809999465942383,19.639999389648438,9.680000305175781,24.59000015258789,27.5,52.900001525878906,9.579999923706055,10.75,26.700000762939453,14.773401260375977,11.359999656677246,2.0299999713897705,10.30769157409668,7.491124153137207,7.239999771118164,2.0299999713897705,26.25,5.699999809265137,6.188261032104492,14.489999771118164,21.06999969482422,11.800000190734863,25.809999465942383,6.440000057220459,10.788084983825684,7.929999828338623,14.119999885559082,30.969999313354492,10.546354293823242,12.518180847167969,7.25,37.97999954223633,13.229999542236328,40.90999984741211,22.473411560058594,6.562404155731201,6.139999866485596,18.229999542236328,12.274999618530273,16.973777770996094,12.595317840576172,15.387664794921875,22.650793075561523,14.770000457763672,5.78000020980835,10.890000343322754,11.829999923706055,8.220000267028809,9.420000076293945,10.319999694824219,2.9700000286102295,26.65999984741211,16.4019775390625,17.200000762939453,24.489999771118164,90.10794067382812,7.992171764373779,20.399999618530273,23.09000015258789,9.616416931152344,4.789999961853027,5.808332920074463,23.254545211791992,32.005950927734375,9.336443901062012,23.530000686645508,24.149999618530273,24.40999984741211,9.489999771118164,11.899999618530273,23.010000228881836,58.457706451416016,5.320000171661377,7.119999885559082,13.800000190734863,21.557079315185547,10.869999885559082,18.020000457763672,14.800000190734863,15.25,22.84000015258789,11.300000190734863,9.917731285095215,24.568016052246094,20.010000228881836,32.849998474121094,29.530000686645508,15.470000267028809,3.119999885559082,9.036665916442871,21.18000030517578,19.399999618530273,7.929999828338623,15.869999885559082,21.259614944458008,16.200000762939453,6.039999961853027,6.440000057220459,10.930000305175781,41.20000076293945,18.112041473388672,49.04901123046875,35.44954299926758,30.579999923706055,17.719999313354492,21.1200008392334,35.279998779296875,237.10865783691406,9.75,20.67727279663086,15.5,34.79999923706055,11.09000015258789,12.100000381469727,5.519999980926514,61.88999938964844,36.08000183105469,12.420000076293945,25.299999237060547,23.59000015258789,8.449999809265137,20.5,13.399999618530273,79.37190246582031,79.7437973022461,14.34000015258789,16.200000762939453,10.457620620727539,20.399999618530273,22.65999984741211,46.45000076293945,8.337382316589355,15.362178802490234,30.15999984741211,7.5,18.719999313354492,5.489999771118164
2022-01-14,15.373191833496094,14.979999542236328,120.4000015258789,10.851625442504883,27.809999465942383,33.11443328857422,21.90273666381836,32.43341064453125,6.820000171661377,21.739999771118164,68.1500015258789,11.9399995803833,25.940000534057617,11.630000114440918,14.850000381469727,15.600000381469727,18.66363525390625,19.200000762939453,10.130000114440918,87.71116638183594,31.010000228881836,19.139999389648438,9.65999984741211,24.15999984741211,27.200000762939453,52.29999923706055,9.699999809265137,11.0,25.600000381469727,14.73344612121582,11.34000015258789,2.0199999809265137,10.136094093322754,7.502957820892334,7.150000095367432,2.059999942779541,25.989999771118164,5.679999828338623,6.258242130279541,14.199999809265137,21.049999237060547,11.899999618530273,26.010000228881836,6.480000019073486,10.851865768432617,8.029999732971191,14.069999694824219,30.34000015258789,10.586189270019531,12.554545402526855,7.210000038146973,38.36000061035156,13.130000114440918,40.779998779296875,22.633222579956055,6.2512969970703125,6.110000133514404,18.34000015258789,11.732500076293945,16.49285316467285,12.556292533874512,14.950515747070312,22.30952262878418,14.920000076293945,5.849999904632568,10.699999809265137,11.739999771118164,8.1899995803833,9.15999984741211,10.109999656677246,2.9100000858306885,27.190000534057617,16.014747619628906,17.229999542236328,24.010000228881836,87.86769104003906,8.285304069519043,20.6200008392334,23.56999969482422,9.616416931152344,4.75,5.699999809265137,23.172727584838867,31.513399124145508,9.099828720092773,23.950000762939453,20.700000762939453,24.700000762939453,8.739999771118164,11.649999618530273,23.350000381469727,57.14825439453125,5.389999866485596,6.929999828338623,14.010000228881836,22.71050262451172,10.880000114440918,18.149999618530273,14.739999771118164,15.100000381469727,21.770000457763672,10.927271842956543,9.457836151123047,24.139272689819336,19.6299991607666,34.06999969482422,30.280000686645508,15.300000190734863,3.0999999046325684,9.0,22.270000457763672,19.450000762939453,7.599999904632568,15.520000457763672,20.278846740722656,16.219999313354492,6.110000133514404,6.230000019073486,10.819999694824219,41.540000915527344,18.493656158447266,49.0191535949707,35.87285232543945,31.6200008392334,17.729999542236328,20.899999618530273,35.25,231.7110595703125,9.180000305175781,20.404544830322266,15.25,35.40999984741211,11.079999923706055,11.920000076293945,5.639999866485596,62.310001373291016,36.04999923706055,12.6899995803833,25.110000610351562,23.649999618530273,8.220000267028809,20.600000381469727,13.300000190734863,80.42974853515625,80.09917449951172,14.15999984741211,16.25,10.092591285705566,20.239999771118164,22.489999771118164,47.029998779296875,8.209114074707031,15.38211727142334,29.0,7.0,18.59000015258789,5.409999847412109
